tool	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e
run set	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive
../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
recursive-simple/fibo_2calls_8-2.yml	false(unreach-call)	1.357202404	1.3451526979988557	64712704	false(unreach-call)	14.063866106	7.462880602999576	244809728	TIMEOUT	61.258931476	35.6720947849999	888672256	TIMEOUT	62.078780054	32.75821459200051	1127534592
recursive-simple/fibo_5-1.yml	ERROR (5)	10.10184022	10.103038362998632	35782656	true	9.718599982	5.199141731000054	187797504	true	27.880735827	16.537110885999937	577531904	true	42.464940468	24.81843850599944	661553152
recursive-simple/fibo_5-2.yml	false(unreach-call)	10.095845633	10.08710311199684	35921920	false(unreach-call)	10.373882098	5.5357846269998845	201621504	false(unreach-call)	24.787266216	14.540281056000367	546119680	false(unreach-call)	32.986565606	20.326301134999085	566321152
recursive-simple/fibo_7-1.yml	ERROR (5)	10.289275802	10.292447632004041	38875136	true	10.88733619	5.720355780000318	200265728	true	39.13510985	23.24484017399982	735219712	TIMEOUT	61.356553583	37.510733445998994	843923456
recursive-simple/fibo_7-2.yml	false(unreach-call)	10.138124093	10.12820188600017	38887424	false(unreach-call)	11.874683674	6.357657956999901	223420416	false(unreach-call)	27.159636884	15.736514590999832	564527104	false(unreach-call)	59.451530327	37.15681933700034	832155648
recursive-simple/id2_b2_o3.yml	TIMEOUT	60.075776519	60.08135466100066	194961408	true	9.254241782	4.931976172999384	190447616	true	21.079186601	12.153480670000135	446320640	true	20.237377701	12.011671092999677	449179648
recursive-simple/id2_b3_o2.yml	TIMEOUT	60.073889906	60.088080408997484	194379776	false(unreach-call)	9.858404861	5.241249741000502	197042176	false(unreach-call)	13.730293753	7.978239127000052	283422720	false(unreach-call)	14.294183504	8.303765530999954	282587136
recursive-simple/id2_b3_o5.yml	TIMEOUT	60.076478177	60.08748507799464	196624384	true	9.091726879	4.8395394920007675	189988864	true	21.560021479	12.686756715999763	489631744	true	23.460989697	13.974300903999392	497500160
recursive-simple/id2_b5_o10.yml	TIMEOUT	60.076180705	60.0773575839994	206553088	true	9.508818519	5.0522988189995885	193830912	true	22.902206336	13.422349236999708	480624640	true	18.662128207	10.860068099000273	357277696
recursive-simple/id2_i5_o5-1.yml	false(unreach-call)	0.25644452	0.3144050069968216	22409216	false(unreach-call)	10.149394228	5.364602590000686	200257536	false(unreach-call)	16.859316258	9.80769360000022	385351680	false(unreach-call)	24.147887639	15.05609696099964	495210496
